community_fips_code,start_year,end_year,geo_src,e_pop_age_total,m_pop_age_total,e_pop_age_under_5,m_pop_age_under_5,e_pop_age_5_9,m_pop_age_5_9,e_pop_age_10_14,m_pop_age_10_14,e_pop_age_15_19,m_pop_age_15_19,e_pop_age_20_24,m_pop_age_20_24,e_pop_age_25_34,m_pop_age_25_34,e_pop_age_35_44,m_pop_age_35_44,e_pop_age_45_54,m_pop_age_45_54,e_pop_age_55_59,m_pop_age_55_59,e_pop_age_60_64,m_pop_age_60_64,e_pop_age_65_74,m_pop_age_65_74,e_pop_age_75_84,m_pop_age_75_84,e_pop_age_85_plus,m_pop_age_85_plus,e_pop_age_median_age,m_pop_age_median_age,e_pop_age_under_18,m_pop_age_under_18,e_pop_age_18_plus,m_pop_age_18_plus,e_pop_age_21_plus,m_pop_age_21_plus,e_pop_age_62_plus,m_pop_age_62_plus,e_pop_age_65_plus,m_pop_age_65_plus,e_pop_total,m_pop_total,e_pop_male,m_pop_male,e_pop_female,m_pop_female
0278350,2019,2023,P,41,60,12,20,0,10,0,10,0,10,0,10,19,27,10,16,0,10,0,10,0,10,0,10,0,10,0,10,32.4,0.3,12,20,29,42,29,42,0,10,0,10,41,60,19,27,22,35
0284510,2019,2023,P,471,162,77,83,22,20,35,29,19,17,23,36,86,51,62,39,28,18,15,13,46,28,40,27,14,16,4,6,29.8,8.9,144,106,327,94,317,94,80,38,58,35,471,162,211,84,260,104
0226870,2019,2023,P,13,22,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,13,22,0,10,0,10,,,0,10,13,22,13,22,13,22,13,22,13,22,13,22,0,10
0258660,2019,2023,P,6141,52,418,83,330,61,378,61,543,114,546,100,1067,134,730,99,623,112,296,77,278,72,543,79,292,71,97,28,32.9,2,1398,143,4743,148,4343,182,1077,119,932,105,6141,52,3070,118,3071,121
0219060,2019,2023,P,25,17,3,3,5,6,1,3,0,10,0,10,10,8,2,4,4,5,0,10,0,10,0,10,0,10,0,10,27.9,5.7,9,10,16,10,16,10,0,10,0,10,25,17,11,10,14,12
0249200,2019,2023,P,3541,661,299,134,324,147,412,158,63,51,58,78,476,241,761,283,207,146,165,70,364,179,286,92,100,49,26,34,35.5,1.1,1035,314,2506,469,2388,449,641,194,412,123,3541,661,1925,428,1616,281
0278297,2019,2023,P,51,51,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,24,31,27,28,0,10,0,10,65.2,12.1,0,10,51,51,51,51,27,28,27,28,51,51,27,28,24,31
0212970,2019,2023,P,54,47,3,5,4,5,3,4,14,19,7,10,6,7,4,5,4,10,0,10,0,10,9,11,0,10,0,10,21.5,16,16,14,38,35,30,27,9,11,9,11,54,47,26,21,28,29
0280660,2019,2023,P,800,351,84,59,56,21,59,21,33,15,42,26,91,158,144,59,99,40,69,32,43,29,50,19,24,12,6,4,38.7,8.1,219,72,581,292,562,293,87,24,80,23,800,351,368,187,432,177
0258330,2019,2023,P,56,44,3,5,9,7,4,5,10,11,6,7,4,5,7,11,6,7,4,5,0,10,0,10,0,10,3,5,20.5,5.6,16,15,40,32,26,19,3,5,3,5,56,44,27,21,29,25
0235890,2019,2023,P,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,,,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
0262285,2019,2023,P,5,6,0,10,0,10,0,10,0,10,2,3,0,10,0,10,0,10,0,10,3,4,0,10,0,10,0,10,61.3,35.8,0,10,5,6,3,4,1,3,0,10,5,6,5,6,0,10
0261788,2019,2023,P,1728,222,0,10,0,10,32,54,83,63,123,77,239,112,401,125,375,228,148,56,168,65,86,59,73,64,0,10,44.2,5.8,99,93,1629,185,1605,176,281,95,159,73,1728,222,1492,147,236,130
0272985,2019,2023,P,5861,1035,225,134,322,200,334,223,595,250,478,299,340,183,905,354,980,347,423,246,595,384,470,166,159,106,35,45,41.7,5.1,1186,417,4675,881,4317,809,1123,430,664,216,5861,1035,2866,559,2995,608
0236400,2019,2023,P,31969,,1586,47,1968,201,1850,159,2060,190,1607,165,4542,139,4847,152,4145,138,2077,206,2447,232,3296,138,1406,135,138,65,39.8,0.6,6497,76,25472,76,24125,227,6474,271,4840,134,31969,,16350,145,15619,145
0274340,2019,2023,P,30,31,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,8,12,22,24,0,10,0,10,71,2.7,0,10,30,31,30,31,30,31,22,24,30,31,15,16,15,15
0279780,2019,2023,P,68,31,8,8,5,5,10,10,0,10,6,6,8,8,1,3,5,9,9,10,2,3,14,10,0,10,0,10,32,45.6,23,20,45,24,44,22,16,11,14,10,68,31,32,18,36,16
0267020,2019,2023,P,1146,164,27,11,22,9,45,15,42,15,92,43,171,156,109,42,248,147,128,48,91,33,109,44,62,20,0,10,46.8,4.6,124,31,1022,159,1010,160,186,47,171,46,1146,164,683,162,463,78
0254700,2019,2023,P,700,106,81,25,59,18,113,26,54,15,63,22,106,30,42,14,61,19,27,19,36,16,32,16,14,10,12,9,23.7,1.5,289,58,411,65,381,61,74,20,58,20,700,106,407,76,293,47
0232810,2019,2023,P,147,80,0,10,25,20,0,10,0,10,0,10,0,10,0,10,0,10,42,37,17,19,63,55,0,10,0,10,63.4,13.6,25,20,122,69,122,69,80,58,63,55,147,80,107,50,40,35
0215320,2019,2023,P,294,124,12,18,12,17,12,21,10,17,43,37,33,34,31,27,24,19,10,14,22,21,63,29,18,18,4,7,42.5,18.7,46,45,248,94,248,94,98,36,85,36,294,124,166,73,128,61
0242490,2019,2023,P,461,109,60,23,46,23,41,18,33,18,52,25,58,25,38,18,37,16,31,15,30,15,14,10,14,12,7,8,24.9,3.1,168,56,293,66,268,62,53,20,35,17,461,109,209,58,252,70
0279230,2019,2023,P,405,112,55,24,52,24,20,9,43,20,50,26,78,32,20,14,30,13,29,18,13,10,12,10,3,4,0,10,23.7,1.9,150,52,255,74,227,69,21,14,15,12,405,112,225,65,180,54
